,Date,Power,Air
0,01/01/2020 00:00,0.0,-0.9
1,01/01/2020 01:00,0.0,-1.5
2,01/01/2020 02:00,0.0,-1.6
3,01/01/2020 03:00,0.0,-1.6
4,01/01/2020 04:00,0.0,-2.0
5,01/01/2020 05:00,0.0,-2.3
6,01/01/2020 06:00,0.0,-2.3
7,01/01/2020 07:00,0.0003239810795049569,-2.6
8,01/01/2020 08:00,0.08093047366033825,-2.0
9,01/01/2020 09:00,0.33642195295794725,0.8
10,01/01/2020 10:00,0.5031426164711981,5.3
11,01/01/2020 11:00,0.578954189075358,9.6
12,01/01/2020 12:00,0.5948940581870019,12.9
13,01/01/2020 13:00,0.5596449167368626,17.1
14,01/01/2020 14:00,0.46258018531717743,16.3
15,01/01/2020 15:00,0.26514611546685674,15.4
16,01/01/2020 16:00,0.03492516037063436,10.5
17,01/01/2020 17:00,0.0,5.5
18,01/01/2020 18:00,0.0,3.7
19,01/01/2020 19:00,0.0,2.0
20,01/01/2020 20:00,0.0,0.8
21,01/01/2020 21:00,0.0,0.2
22,01/01/2020 22:00,0.0,-0.3
23,01/01/2020 23:00,0.0,-0.3
24,02/01/2020 00:00,0.0,-0.5
25,02/01/2020 01:00,0.0,-0.4
26,02/01/2020 02:00,0.0,-0.8
27,02/01/2020 03:00,0.0,-0.7
28,02/01/2020 04:00,0.0,-1.2
29,02/01/2020 05:00,0.0,-1.3
30,02/01/2020 06:00,0.0,-1.8
31,02/01/2020 07:00,0.00019438864770297416,-2.1
32,02/01/2020 08:00,0.05190176893669409,-2.0
33,02/01/2020 09:00,0.17903194453443919,-0.7
34,02/01/2020 10:00,0.25315881552517333,0.7
35,02/01/2020 11:00,0.3841767640769779,5.7
36,02/01/2020 12:00,0.5897751571308236,11.0
37,02/01/2020 13:00,0.571697012894447,14.6
38,02/01/2020 14:00,0.47391952309985097,16.9
39,02/01/2020 15:00,0.2147346594958854,13.5
40,02/01/2020 16:00,0.03006544417806,9.1
41,02/01/2020 17:00,0.0,5.2
42,02/01/2020 18:00,0.0,3.7
43,02/01/2020 19:00,0.0,2.4
44,02/01/2020 20:00,0.0,1.3
45,02/01/2020 21:00,0.0,0.6
46,02/01/2020 22:00,0.0,1.5
47,02/01/2020 23:00,0.0,1.5
48,03/01/2020 00:00,0.0,1.6
49,03/01/2020 01:00,0.0,1.2
50,03/01/2020 02:00,0.0,1.1
51,03/01/2020 03:00,0.0,0.8
52,03/01/2020 04:00,0.0,0.7
53,03/01/2020 05:00,0.0,0.7
